project_id,project_location_id,precision_code,geoname_id,place_name,latitude,longitude,location_type_code,location_type_name,is_geocoded,project_title,start_actual_isodate,start_actual_type,end_actual_isodate,end_actual_type,donors,donors_iso3,ad_sector_codes,ad_sector_names,status,total_commitments,total_disbursements,even_split_commitments,even_split_disbursements
87292861561,87292861561_1943320,1.0,1943320.0,Locohu,-8.67306,126.62917,PPL,populated place,1.0,Basic Education Programme,2009-01-01,start-actual,2013-12-31,end-actual,DFAT - Australian Aid Program|Australian Aid Program|Government of Netherland|Government of Sweden|UNICEF Core Resources|United Nations Children's Fund,AUS|AUS|NLD|SWE|DAC|DAC,110,Education,Implementation,2.503005612E7,2.827250761E7,161484.233032,182403.274903
87292861561,87292861561_1943333,1.0,1943333.0,Afaloicai,-8.68778,126.67167,PPL,populated place,1.0,Basic Education Programme,2009-01-01,start-actual,2013-12-31,end-actual,DFAT - Australian Aid Program|Australian Aid Program|Government of Netherland|Government of Sweden|UNICEF Core Resources|United Nations Children's Fund,AUS|AUS|NLD|SWE|DAC|DAC,110,Education,Implementation,2.503005612E7,2.827250761E7,161484.233032,182403.274903
87292861561,87292861561_1943314,1.0,1943314.0,Aiteas,-8.51056,126.01583,PPL,populated place,1.0,Basic Education Programme,2009-01-01,start-actual,2013-12-31,end-actual,DFAT - Australian Aid Program|Australian Aid Program|Government of Netherland|Government of Sweden|UNICEF Core Resources|United Nations Children's Fund,AUS|AUS|NLD|SWE|DAC|DAC,110,Education,Implementation,2.503005612E7,2.827250761E7,161484.233032,182403.274903
87292861561,87292861561_1944891,1.0,1944891.0,Aituto,-8.90028,125.59278,PPL,populated place,1.0,Basic Education Programme,2009-01-01,start-actual,2013-12-31,end-actual,DFAT - Australian Aid Program|Australian Aid Program|Government of Netherland|Government of Sweden|UNICEF Core Resources|United Nations Children's Fund,AUS|AUS|NLD|SWE|DAC|DAC,110,Education,Implementation,2.503005612E7,2.827250761E7,161484.233032,182403.274903
87292861561,87292861561_1946056,1.0,1946056.0,Atelari,-8.54667,126.70361,PPL,populated place,1.0,Basic Education Programme,2009-01-01,start-actual,2013-12-31,end-actual,DFAT - Australian Aid Program|Australian Aid Program|Government of Netherland|Government of Sweden|UNICEF Core Resources|United Nations Children's Fund,AUS|AUS|NLD|SWE|DAC|DAC,110,Education,Implementation,2.503005612E7,2.827250761E7,161484.233032,182403.274903
87292861561,87292861561_1945253,1.0,1945253.0,Atuaben,-9.00398,125.32747,PPL,populated place,1.0,Basic Education Programme,2009-01-01,start-actual,2013-12-31,end-actual,DFAT - Australian Aid Program|Australian Aid Program|Government of Netherland|Government of Sweden|UNICEF Core Resources|United Nations Children's Fund,AUS|AUS|NLD|SWE|DAC|DAC,110,Education,Implementation,2.503005612E7,2.827250761E7,161484.233032,182403.274903
87292861561,87292861561_1944730,1.0,1944730.0,Atubuti,-8.93083,125.40528,PPL,populated place,1.0,Basic Education Programme,2009-01-01,start-actual,2013-12-31,end-actual,DFAT - Australian Aid Program|Australian Aid Program|Government of Netherland|Government of Sweden|UNICEF Core Resources|United Nations Children's Fund,AUS|AUS|NLD|SWE|DAC|DAC,110,Education,Implementation,2.503005612E7,2.827250761E7,161484.233032,182403.274903
87292861561,87292861561_1944879,1.0,1944879.0,Atubuti,-8.94806,125.29083,PPL,populated place,1.0,Basic Education Programme,2009-01-01,start-actual,2013-12-31,end-actual,DFAT - Australian Aid Program|Australian Aid Program|Government of Netherland|Government of Sweden|UNICEF Core Resources|United Nations Children's Fund,AUS|AUS|NLD|SWE|DAC|DAC,110,Education,Implementation,2.503005612E7,2.827250761E7,161484.233032,182403.274903
87292861561,87292861561_1942488,1.0,1942488.0,Aubaca,-8.49,126.35972,PPL,populated place,1.0,Basic Education Programme,2009-01-01,start-actual,2013-12-31,end-actual,DFAT - Australian Aid Program|Australian Aid Program|Government of Netherland|Government of Sweden|UNICEF Core Resources|United Nations Children's Fund,AUS|AUS|NLD|SWE|DAC|DAC,110,Education,Implementation,2.503005612E7,2.827250761E7,161484.233032,182403.274903
87292861561,87292861561_1943272,1.0,1943272.0,Babulo,-8.77722,126.56361,PPL,populated place,1.0,Basic Education Programme,2009-01-01,start-actual,2013-12-31,end-actual,DFAT - Australian Aid Program|Australian Aid Program|Government of Netherland|Government of Sweden|UNICEF Core Resources|United Nations Children's Fund,AUS|AUS|NLD|SWE|DAC|DAC,110,Education,Implementation,2.503005612E7,2.827250761E7,161484.233032,182403.274903
87292861561,87292861561_1942544,1.0,1942544.0,Balibar,-8.6,125.595,PPL,populated place,1.0,Basic Education Programme,2009-01-01,start-actual,2013-12-31,end-actual,DFAT - Australian Aid Program|Australian Aid Program|Government of Netherland|Government of Sweden|UNICEF Core Resources|United Nations Children's Fund,AUS|AUS|NLD|SWE|DAC|DAC,110,Education,Implementation,2.503005612E7,2.827250761E7,161484.233032,182403.274903
87292861561,87292861561_1946492,1.0,1946492.0,Balulin,-8.74611,125.90556,PPL,populated place,1.0,Basic Education Programme,2009-01-01,start-actual,2013-12-31,end-actual,DFAT - Australian Aid Program|Australian Aid Program|Government of Netherland|Government of Sweden|UNICEF Core Resources|United Nations Children's Fund,AUS|AUS|NLD|SWE|DAC|DAC,110,Education,Implementation,2.503005612E7,2.827250761E7,161484.233032,182403.274903
87292861561,87292861561_1945078,1.0,1945078.0,Bandeirahun,-8.75833,125.53833,PPL,populated place,1.0,Basic Education Programme,2009-01-01,start-actual,2013-12-31,end-actual,DFAT - Australian Aid Program|Australian Aid Program|Government of Netherland|Government of Sweden|UNICEF Core Resources|United Nations Children's Fund,AUS|AUS|NLD|SWE|DAC|DAC,110,Education,Implementation,2.503005612E7,2.827250761E7,161484.233032,182403.274903
87292861561,87292861561_1944411,1.0,1944411.0,Baqui,-9.28333,124.35111,PPL,populated place,1.0,Basic Education Programme,2009-01-01,start-actual,2013-12-31,end-actual,DFAT - Australian Aid Program|Australian Aid Program|Government of Netherland|Government of Sweden|UNICEF Core Resources|United Nations Children's Fund,AUS|AUS|NLD|SWE|DAC|DAC,110,Education,Implementation,2.503005612E7,2.827250761E7,161484.233032,182403.274903
87292861561,87292861561_1943526,1.0,1943526.0,Baticassa,-8.65444,126.53306,PPL,populated place,1.0,Basic Education Programme,2009-01-01,start-actual,2013-12-31,end-actual,DFAT - Australian Aid Program|Australian Aid Program|Government of Netherland|Government of Sweden|UNICEF Core Resources|United Nations Children's Fund,AUS|AUS|NLD|SWE|DAC|DAC,110,Education,Implementation,2.503005612E7,2.827250761E7,161484.233032,182403.274903
87292861561,87292861561_1944723,1.0,1944723.0,Batumano,-8.95139,125.37444,PPL,populated place,1.0,Basic Education Programme,2009-01-01,start-actual,2013-12-31,end-actual,DFAT - Australian Aid Program|Australian Aid Program|Government of Netherland|Government of Sweden|UNICEF Core Resources|United Nations Children's Fund,AUS|AUS|NLD|SWE|DAC|DAC,110,Education,Implementation,2.503005612E7,2.827250761E7,161484.233032,182403.274903
87292861561,87292861561_1944069,1.0,1944069.0,Bausiu,-9.17747,124.4098,PPL,populated place,1.0,Basic Education Programme,2009-01-01,start-actual,2013-12-31,end-actual,DFAT - Australian Aid Program|Australian Aid Program|Government of Netherland|Government of Sweden|UNICEF Core Resources|United Nations Children's Fund,AUS|AUS|NLD|SWE|DAC|DAC,110,Education,Implementation,2.503005612E7,2.827250761E7,161484.233032,182403.274903
